iter	Passed	Remaining
411	3861	5510
412	3868	5498
413	3876	5487
414	3884	5476
415	3893	5466
416	3902	5455
417	3913	5448
418	3924	5441
419	3935	5434
420	3945	5426
421	3955	5417
422	3964	5407
423	3973	5397
424	3982	5387
425	3990	5377
426	3999	5367
427	4008	5357
428	4017	5347
429	4027	5338
430	4036	5328
431	4045	5319
432	4055	5310
433	4064	5301
434	4074	5291
435	4083	5281
436	4091	5270
437	4102	5263
438	4111	5254
439	4122	5246
440	4131	5236
441	4140	5226
442	4149	5217
443	4157	5205
444	4165	5194
445	4174	5184
446	4183	5175
447	4191	5164
448	4200	5155
449	4209	5144
450	4219	5136
451	4230	5129
452	4239	5119
453	4249	5110
454	4258	5101
455	4268	5091
456	4277	5082
457	4285	5071
458	4293	5060
459	4301	5049
460	4309	5038
461	4318	5028
462	4326	5017
463	4335	5008
464	4344	4998
465	4352	4987
466	4361	4977
467	4369	4967
468	4378	4957
469	4389	4950
470	4399	4941
471	4410	4933
472	4419	4924
473	4429	4915
474	4437	4904
475	4445	4893
476	4453	4882
477	4461	4872
478	4470	4861
479	4480	4853
480	4488	4842
481	4496	4832
482	4507	4824
483	4518	4816
484	4528	4808
485	4540	4801
486	4549	4792
487	4559	4784
488	4568	4773
489	4576	4763
490	4585	4753
491	4593	4742
492	4601	4732
493	4611	4723
494	4619	4713
495	4629	4703
496	4638	4694
497	4648	4685
498	4656	4675
499	4665	4665
500	4674	4655
501	4684	4647
502	4695	4639
503	4705	4630
504	4715	4622
505	4724	4612
506	4733	4603
507	4743	4593
508	4753	4585
509	4761	4574
510	4769	4564
511	4778	4554
512	4787	4544
513	4795	4534
514	4805	4525
515	4814	4516
516	4825	4508
517	4836	4500
518	4847	4492
519	4856	4483
520	4865	4472
521	4873	4463
522	4881	4452
523	4889	4441
524	4896	4430
525	4905	4420
526	4914	4410
527	4922	4400
528	4931	4390
529	4941	4382
530	4950	4372
531	4959	4362
532	4968	4353
533	4977	4343
534	4987	4335
535	4996	4325
536	5006	4316
537	5016	4307
538	5025	4298
539	5033	4287
540	5041	4277
541	5049	4267
542	5058	4257
543	5065	4246
544	5074	4236
545	5083	4227
546	5091	4216
547	5100	4206
548	5108	4196
549	5117	4187
550	5127	4178
551	5137	4169
552	5147	4160
553	5157	4151
554	5166	4142
555	5174	4132
556	5182	4121
557	5189	4111
558	5198	4100
559	5206	4090
560	5214	4080
561	5222	4069
562	5230	4059
563	5238	4049
564	5246	4038
565	5254	4029
566	5263	4019
567	5278	4014
568	5288	4005
569	5300	3998
570	5309	3989
571	5319	3980
572	5327	3970
573	5335	3959
574	5344	3949
575	5352	3940
576	5361	3930
577	5370	3921
578	5378	3910
579	5386	3900
580	5395	3891
581	5405	3882
582	5413	3872
583	5421	3862
584	5430	3852
585	5438	3842
586	5447	3832
587	5454	3822
588	5465	3813
589	5476	3805
590	5486	3796
591	5497	3788
592	5506	3779
593	5514	3769
594	5523	3759
595	5532	3750
596	5540	3740
597	5548	3729
598	5556	3719
599	5564	3709
600	5571	3699
601	5581	3689
602	5589	3680
603	5599	3671
604	5608	3661
605	5616	3651
606	5626	3642
607	5634	3632
608	5642	3622
609	5650	3612
610	5658	3602
611	5667	3593
612	5679	3585
613	5692	3578
614	5706	3572
615	5717	3563
616	5728	3556
617	5737	3546
618	5746	3537
619	5755	3527
620	5764	3518
621	5772	3508
622	5781	3498
623	5793	3491
624	5804	3482
625	5814	3473
626	5823	3464
627	5832	3455
628	5840	3445
629	5849	3435
630	5857	3425
631	5865	3415
632	5874	3405
633	5883	3396
634	5892	3386
635	5899	3376
636	5908	3366
637	5917	3357
638	5926	3348
639	5935	3338
640	5943	3328
641	5953	3319
642	5965	3312
643	5977	3304
644	5986	3294
645	5996	3286
646	6004	3276
647	6012	3266
648	6020	3256
649	6029	3246
650	6037	3236
651	6045	3226
652	6054	3217
653	6063	3207
654	6070	3197
655	6079	3187
656	6087	3178
657	6099	3170
658	6108	3160
659	6119	3152
660	6128	3143
661	6137	3133
662	6146	3124
663	6155	3114
664	6162	3104
665	6171	3094
666	6179	3085
667	6187	3075
668	6196	3065
669	6205	3056
670	6213	3046
671	6223	3037
672	6231	3027
673	6239	3018
674	6247	3008
675	6257	2998
676	6264	2988
677	6272	2978
678	6280	2968
679	6288	2959
680	6296	2949
681	6304	2939
682	6312	2929
683	6320	2920
684	6329	2910
685	6337	2900
686	6346	2891
687	6354	2881
688	6364	2872
689	6375	2864
690	6386	2855
691	6395	2846
692	6405	2837
693	6416	2829
694	6426	2820
695	6438	2812
696	6447	2802
697	6457	2793
698	6466	2784
699	6475	2775
700	6485	2766
701	6494	2757
702	6510	2750
703	6526	2744
704	6538	2735
705	6549	2727
706	6562	2719
707	6572	2710
708	6584	2702
709	6592	2692
710	6600	2683
711	6609	2673
712	6617	2663
713	6625	2653
714	6633	2643
715	6640	2634
716	6648	2624
717	6656	2614
718	6665	2604
719	6672	2595
720	6681	2585
721	6688	2575
722	6696	2565
723	6704	2555
724	6712	2546
725	6720	2536
726	6731	2527
727	6740	2518
728	6751	2509
729	6761	2500
730	6771	2491
731	6779	2482
732	6787	2472
733	6796	2462
734	6804	2453
735	6812	2443
736	6820	2433
737	6829	2424
738	6838	2415
739	6848	2406
740	6856	2396
741	6865	2387
742	6878	2379
743	6889	2370
744	6899	2361
745	6909	2352
746	6918	2343
747	6927	2333
748	6935	2324
749	6944	2314
750	6952	2305
751	6960	2295
752	6968	2285
753	6977	2276
754	6985	2266
755	6993	2257
756	7002	2247
757	7011	2238
758	7019	2228
759	7029	2219
760	7037	2210
761	7046	2200
762	7055	2191
763	7063	2182
764	7072	2172
765	7080	2163
766	7093	2154
767	7103	2145
768	7113	2136
769	7123	2127
770	7133	2118
771	7141	2109
772	7150	2099
773	7160	2090
774	7169	2081
775	7179	2072
776	7189	2063
777	7197	2053
778	7207	2044
779	7216	2035
780	7228	2027
781	7240	2018
782	7251	2009
783	7262	2000
784	7272	1991
785	7282	1982
786	7290	1973
787	7298	1963
788	7306	1953
789	7314	1944
790	7322	1934
791	7330	1925
792	7338	1915
793	7346	1906
794	7354	1896
795	7363	1887
796	7371	1877
797	7379	1868
798	7387	1858
799	7395	1848
800	7404	1839
801	7411	1829
802	7419	1820
803	7427	1810
804	7435	1801
805	7443	1791
806	7451	1782
807	7459	1772
808	7467	1763
809	7475	1753
810	7483	1743
811	7491	1734
812	7498	1724
813	7507	1715
814	7515	1705
815	7523	1696
816	7532	1687
817	7540	1677
818	7548	1668
819	7556	1658
820	7564	1649
821	7571	1639
822	7579	1630
823	7588	1620
824	7596	1611
825	7604	1601
826	7612	1592
827	7620	1583
828	7628	1573
829	7637	1564
830	7646	1555
831	7654	1545
832	7662	1536
833	7670	1526
834	7679	1517
835	7687	1508
836	7695	1498
837	7704	1489
838	7716	1480
839	7729	1472
840	7741	1463
841	7750	1454
842	7759	1445
843	7769	1436
844	7777	1426
845	7785	1417
846	7793	1407
847	7802	1398
848	7809	1389
849	7817	1379
850	7825	1370
851	7833	1360
852	7841	1351
853	7849	1341
854	7857	1332
855	7865	1323
856	7871	1313
857	7879	1304
858	7887	1294
859	7896	1285
860	7903	1275
861	7912	1266
862	7921	1257
863	7930	1248
864	7940	1239
865	7949	1230
866	7959	1220
867	7968	1211
868	7977	1202
869	7985	1193
870	7994	1184
871	8002	1174
872	8010	1165
873	8018	1155
874	8027	1146
875	8035	1137
876	8044	1128
877	8052	1118
878	8061	1109
879	8069	1100
880	8077	1091
881	8085	1081
882	8093	1072
883	8101	1063
884	8110	1053
885	8118	1044
886	8127	1035
887	8136	1026
888	8145	1017
889	8153	1007
890	8162	998
891	8171	989
892	8179	980
893	8188	970
894	8196	961
895	8208	952
896	8218	943
897	8229	934
898	8238	925
899	8249	916
900	8257	907
901	8263	897
902	8270	888
903	8279	879
904	8287	869
905	8296	860
906	8303	851
907	8311	842
908	8319	832
909	8328	823
910	8336	814
911	8344	805
912	8352	795
913	8361	786
914	8368	777
915	8377	768
916	8385	758
917	8393	749
918	8402	740
919	8411	731
920	8420	722
921	8428	713
922	8437	703
923	8445	694
924	8454	685
925	8463	676
926	8470	667
927	8478	657
928	8484	648
929	8492	639
930	8500	630
931	8508	620
932	8517	611
933	8525	602
934	8533	593
935	8542	584
936	8550	574
937	8558	565
938	8567	556
939	8575	547
940	8583	538
941	8591	528
942	8598	519
943	8606	510
944	8614	501
945	8623	492
946	8631	483
947	8639	473
948	8648	464
949	8657	455
950	8665	446
951	8673	437
952	8681	428
953	8690	419
954	8698	409
955	8706	400
956	8714	391
957	8723	382
958	8730	373
959	8739	364
960	8746	354
961	8755	345
962	8763	336
963	8771	327
964	8779	318
965	8787	309
966	8796	300
967	8803	291
968	8812	281
969	8824	272
970	8837	263
971	8848	254
972	8860	245
973	8869	236
974	8878	227
975	8886	218
976	8894	209
977	8902	200
978	8909	191
979	8918	182
980	8926	172
981	8935	163
982	8943	154
983	8952	145
984	8959	136
985	8967	127
986	8975	118
987	8984	109
988	8991	100
989	9000	90
990	9008	81
991	9016	72
992	9024	63
993	9031	54
994	9039	45
995	9047	36
996	9055	27
997	9062	18
998	9070	9
999	9079	0
997	8271	16
998	8280	8
999	8290	0
