iter	Logloss
0	0.6124720081
1	0.5501332917
2	0.4964251924
3	0.4544269042
4	0.4206991942
5	0.3880977143
6	0.3617365678
7	0.3406289862
8	0.3246842762
9	0.3088949738
10	0.2953225834
11	0.2838087881
12	0.2745658366
13	0.2660340382
14	0.2582997016
15	0.2521651422
16	0.246577083
17	0.2416025717
18	0.2375484303
19	0.2338861328
20	0.2305397491
21	0.2285776357
22	0.2262071427
23	0.2237809488
24	0.2217676121
25	0.2200308771
26	0.2185336444
27	0.2169186418
28	0.2155107949
29	0.2140594625
30	0.2128313514
31	0.211874451
32	0.2107514713
33	0.2099410375
34	0.2089107008
35	0.2080649074
36	0.2072673375
37	0.2067119419
38	0.2061959142
39	0.2054754701
40	0.204861024
41	0.2044126639
42	0.2038812012
43	0.2033552858
44	0.2026381124
45	0.2022854499
46	0.2015150883
47	0.2012496732
48	0.2008240353
49	0.2003796879
50	0.2000531615
51	0.1997286258
52	0.1994396708
53	0.1991280685
54	0.1987745678
55	0.1981141014
56	0.1979053274
57	0.1976631862
58	0.1973210861
59	0.197084004
60	0.1967902737
61	0.1966243109
62	0.1961492237
63	0.1959140817
64	0.1957755162
65	0.1951995765
66	0.1947334166
67	0.1943366567
68	0.1941802933
69	0.1939200758
70	0.1935466344
71	0.1934064395
72	0.1932287009
73	0.1927765757
74	0.1926505425
75	0.1924568405
76	0.1922836475
77	0.1918612124
78	0.1917083854
79	0.1913557739
80	0.1912383311
81	0.1911020028
82	0.1907300283
83	0.1906015689
84	0.1904068545
85	0.1901935558
86	0.1900746636
87	0.1897862118
88	0.1896769844
89	0.189521867
90	0.1894001116
91	0.1890705783
92	0.1889635708
93	0.1887774913
94	0.1885225765
95	0.1883291495
96	0.1882156619
97	0.188161072
98	0.1879294716
99	0.1877574863
100	0.187641911
101	0.1872353374
102	0.1871000585
103	0.1869794484
104	0.1868641538
105	0.1867543922
106	0.1866015522
107	0.1863060953
108	0.1862265952
109	0.1860507605
110	0.1858452617
111	0.1856479195
112	0.1853872494
113	0.1852685944
114	0.1850894433
115	0.1849809357
